dish,cat1,cat2,cat3
apple_pie,Bakeries,Desserts,
baby_back_ribs,Comfort Food,Bars,
baklava,Middle Eastern,Wine Bars,
beef_carpaccio,Italian,Italian,
beef_tartare,American (New),Bars,
beet_salad,Bars,Bars,
beignets,Cajun/Creole,Cajun/Creole,
bibimbap,Korean,Noodles,
bread_pudding,Barbeque,American (New),
breakfast_burrito,Mexican,Breakfast & Brunch,
bruschetta,Italian,Jazz & Blues,
caesar_salad,Italian,American (New),
cannoli,Desserts,Italian,Ice Cream & Frozen Yogurt
caprese_salad,Pizza,Italian,Italian
carrot_cake,Bakeries,Desserts,Bakeries
ceviche,Mexican,Mexican,
cheese_plate,Champagne Bars,Cocktail Bars,Wine Bars
cheesecake,Desserts,Desserts,Desserts
chicken_curry,Indian,Lounges,
chicken_quesadilla,Mexican,Mexican,
chicken_wings,American (Traditional),Southern,
chocolate_cake,Desserts,Desserts,Chocolatiers & Shops
chocolate_mousse,Desserts,Bakeries,Chocolatiers & Shops
churros,Food Trucks,Food Trucks,Desserts
clam_chowder,Seafood,Jazz & Blues,Seafood Markets
club_sandwich,Comfort Food,Bars,Sandwiches
crab_cakes,American (New),American (New),Seafood
creme_brulee,French,French,Desserts
croque_madame,French,Filipino,Breakfast & Brunch
cup_cakes,Desserts,Desserts,Bakeries
deviled_eggs,Bars,American (New),Pubs
donuts,Coffee & Tea,Coffee & Tea,Donuts
dumplings,Chinese,Shanghainese,Chinese
edamame,Sushi Bars,Japanese,Japanese
eggs_benedict,American (New),American (Traditional),
escargots,French,French,French
falafel,Middle Eastern,Turkish,
filet_mignon,Bars,Bars,Steakhouses
fish_and_chips,Seafood,Asian Fusion,British
foie_gras,Bars,French,
french_fries,Beer Gardens,Irish Pub,American (New)
french_onion_soup,Cocktail Bars,French,
french_toast,Breakfast & Brunch,Coffee & Tea,
fried_calamari,Seafood,Italian,Chinese
fried_rice,Chinese,Chinese,Thai
frozen_yogurt,Coffee & Tea,Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt
garlic_bread,Pizza,Italian,Bakeries
gnocchi,Italian,Italian,Italian
greek_salad,Mediterranean,Turkish,
grilled_cheese_sandwich,Southern,Bars,Breakfast & Brunch
grilled_salmon,Seafood,Steakhouses,American (New)
guacamole,Mexican,Mexican,Mexican
gyoza,Sushi Bars,Ramen,Japanese
hamburger,Burgers,Irish Pub,Burgers
hot_and_sour_soup,Chinese,Chinese,Chinese
hot_dog,German,Beer Bar,Hot Dogs
huevos_rancheros,Mexican,Mexican,Latin American
hummus,Mediterranean,Mediterranean,Mediterranean
ice_cream,Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt
lasagna,Italian,Italian,Italian
lobster_bisque,Seafood,Seafood,Seafood Markets
lobster_roll_sandwich,Seafood,Steakhouses,Seafood Markets
macaroni_and_cheese,Bars,Bars,American (Traditional)
macarons,Coffee & Tea,Coffee & Tea,Macarons
miso_soup,Sushi Bars,Seafood,Japanese
mussels,Bars,Seafood,French
nachos,Mexican,Mexican,Mexican
omelette,Breakfast & Brunch,Breakfast & Brunch,Breakfast & Brunch
onion_rings,Brasseries,American (Traditional),Burgers
oysters,Beer Bar,American (Traditional),Seafood
pad_thai,Thai,Thai,
paella,Tapas/Small Plates,Latin American,Spanish
pancakes,Breakfast & Brunch,American (Traditional),Breakfast & Brunch
panna_cotta,Italian,Italian,Italian
peking_duck,Chinese,Chinese,Chinese
pho,Vietnamese,Vietnamese,Vietnamese
pizza,Pizza,Pizza,
pork_chop,Barbeque,American (New),American (New)
poutine,Cocktail Bars,Comfort Food,
prime_rib,Steakhouses,Bars,American (Traditional)
pulled_pork_sandwich,Comfort Food,American (Traditional),Barbeque
ramen,Japanese,Japanese,Ramen
ravioli,Caterers,Italian,Sandwiches
red_velvet_cake,Desserts,Desserts,Bakeries
risotto,Italian,Italian,Mediterranean
samosa,Indian,Indian,Indian
sashimi,Sushi Bars,Japanese,
scallops,Mediterranean,American (New),American (New)
seaweed_salad,Japanese,Japanese,Hawaiian
shrimp_and_grits,American (Traditional),Breakfast & Brunch,Breakfast & Brunch
spaghetti_bolognese,Italian,Italian,Italian
spaghetti_carbonara,Pizza,Caterers,Italian
spring_rolls,Vietnamese,Vietnamese,Vietnamese
steak,American (New),Gastropubs,Steakhouses
strawberry_shortcake,Bakeries,Desserts,Bakeries
sushi,Sushi Bars,Japanese,
tacos,Mexican,Mexican,
takoyaki,Sushi Bars,Sushi Bars,Ramen
tiramisu,Desserts,Gluten-Free,Bakeries
tuna_tartare,Japanese,Bars,
waffles,Breakfast & Brunch,Breakfast & Brunch,Desserts
